Date,GRG.L,JD.L,MAB.L,NXT.L,SMWH.L
2023-06-28,2571.88232421875,144.1131134033203,205.8000030517578,6839.4267578125,1548.9324951171875
2023-06-29,2551.898681640625,143.86318969726562,206.60000610351562,6805.458984375,1549.9317626953125
2023-06-30,2551.898681640625,145.962646484375,204.1999969482422,6893.3740234375,1546.933837890625
2023-07-03,2561.890625,145.962646484375,206.39999389648438,6975.294921875,1536.940673828125
2023-07-04,2587.869384765625,147.6621856689453,208.0,6967.30322265625,1546.933837890625
2023-07-05,2527.918701171875,145.2128448486328,204.0,6947.322265625,1524.948974609375
2023-07-06,2475.96142578125,137.97105407714844,199.3000030517578,6577.00390625,1467.98828125
2023-07-07,2529.916748046875,140.97042846679688,200.0,6652.94580078125,1468.9876708984375
2023-07-10,2531.91552734375,141.02041625976562,201.8000030517578,6684.921875,1480.9793701171875
2023-07-11,2579.875732421875,144.4696807861328,200.60000610351562,6806.82958984375,1482.9779052734375
2023-07-12,2635.82958984375,150.11851501464844,208.0,6956.71484375,1503.9635009765625
2023-07-13,2625.837890625,151.1182861328125,208.0,6938.7294921875,1505.043701171875
2023-07-14,2645.8212890625,151.9181365966797,208.8000030517578,6920.74267578125,1501.0462646484375
2023-07-17,2595.862548828125,152.5679931640625,205.0,6888.76611328125,1504.04443359375
2023-07-18,2633.831298828125,153.66775512695312,209.8000030517578,6940.72705078125,1514.0380859375
2023-07-19,2693.781982421875,157.1170196533203,221.39999389648438,7048.6455078125,1548.0164794921875
2023-07-20,2691.78369140625,157.3669891357422,223.0,7198.53125,1524.0316162109375
2023-07-21,2699.777099609375,157.3669891357422,220.60000610351562,7222.51318359375,1508.0418701171875
2023-07-24,2687.786865234375,157.06707763671875,217.0,7144.57177734375,1501.0462646484375
2023-07-25,2713.765380859375,155.2674102783203,210.39999389648438,6998.68359375,1496.049560546875
2023-07-26,2707.770263671875,153.91770935058594,215.1999969482422,7084.61767578125,1506.0430908203125
2023-07-27,2731.75048828125,156.1172637939453,233.0,7116.59326171875,1506.0430908203125
2023-07-28,2715.763671875,158.06683349609375,227.8000030517578,7062.634765625,1502.0457763671875
2023-07-31,2759.727783203125,157.6669158935547,230.0,7042.650390625,1492.0518798828125
2023-08-01,2547.90185546875,153.21788024902344,228.39999389648438,6956.71484375,1502.0457763671875
2023-08-02,2497.943115234375,148.46885681152344,226.0,6846.79931640625,1450.07861328125
2023-08-03,2519.92529296875,150.6684112548828,227.1999969482422,6896.7607421875,1448.0799560546875
2023-08-04,2529.916748046875,149.21868896484375,234.60000610351562,6944.724609375,1453.076904296875
2023-08-07,2529.916748046875,146.7692108154297,232.39999389648438,6872.779296875,1449.079345703125
2023-08-08,2593.8642578125,145.96937561035156,232.60000610351562,6836.806640625,1440.0850830078125
2023-08-09,2599.859375,143.91978454589844,236.1999969482422,6880.7734375,1458.0736083984375
2023-08-10,2613.847900390625,146.16932678222656,234.39999389648438,6972.703125,1461.07177734375
2023-08-11,2569.8837890625,143.2699432373047,229.39999389648438,6894.76220703125,1440.0850830078125
2023-08-14,2571.88232421875,146.41929626464844,231.60000610351562,6962.7109375,1437.0869140625
2023-08-15,2573.880615234375,149.36865234375,233.8000030517578,6952.71826171875,1431.0906982421875
2023-08-16,2547.90185546875,153.6177520751953,230.0,6894.76220703125,1424.0950927734375
2023-08-17,2481.956298828125,153.36781311035156,227.0,6848.79736328125,1394.1142578125
2023-08-18,2428.0009765625,149.66860961914062,222.60000610351562,6830.81103515625,1379.123779296875
2023-08-21,2398.02587890625,151.0683135986328,223.0,6810.82666015625,1396.1129150390625
2023-08-22,2424.004150390625,140.72047424316406,220.39999389648438,6784.845703125,1419.0985107421875
2023-08-23,2416.0107421875,133.12205505371094,223.39999389648438,6752.8701171875,1449.079345703125
2023-08-24,2402.02197265625,139.8706512451172,222.0,6744.8759765625,1455.07568359375
2023-08-25,2428.0009765625,138.97084045410156,217.60000610351562,6774.85302734375,1422.0965576171875
2023-08-29,2453.979736328125,145.0195770263672,221.0,6952.71826171875,1459.0728759765625
2023-08-30,2447.984375,143.21994018554688,220.0,6930.73486328125,1461.07177734375
2023-08-31,2463.97119140625,145.21954345703125,220.60000610351562,6982.6953125,1466.068359375
2023-09-01,2457.97607421875,144.01979064941406,220.0,7022.6650390625,1476.062255859375
2023-09-04,2453.979736328125,142.52011108398438,217.60000610351562,7030.658203125,1480.0596923828125
2023-09-05,2447.984375,140.92044067382812,217.1999969482422,7036.65380859375,1483.0577392578125
2023-09-06,2439.99072265625,139.2707977294922,215.39999389648438,7002.68017578125,1389.117431640625
2023-09-07,2368.20556640625,134.2218475341797,216.1999969482422,6986.69287109375,1394.1142578125
2023-09-08,2396.18408203125,137.7211151123047,219.8000030517578,7102.6044921875,1381.12255859375
2023-09-11,2406.176513671875,139.4707489013672,220.8000030517578,7152.56640625,1389.117431640625
2023-09-12,2424.162841796875,140.42054748535156,223.0,7272.4755859375,1400.1104736328125
2023-09-13,2420.165771484375,136.9712677001953,223.0,7172.55126953125,1383.1212158203125
2023-09-14,2490.11279296875,140.62049865722656,228.0,7128.5849609375,1393.114990234375
2023-09-15,2538.076416015625,139.62071228027344,228.0,7188.53955078125,1405.1072998046875
2023-09-18,2420.165771484375,136.021484375,220.0,7106.6015625,1343.146728515625
2023-09-19,2450.143310546875,133.3720245361328,219.39999389648438,7026.66259765625,1355.1390380859375
2023-09-20,2490.11279296875,132.922119140625,224.1999969482422,7100.60546875,1380.1231689453125
2023-09-21,2478.121826171875,144.8695831298828,226.60000610351562,7344.42041015625,1374.1268310546875
2023-09-22,2448.144775390625,146.96917724609375,224.8000030517578,7292.46044921875,1368.130859375
2023-09-25,2426.161376953125,145.61944580078125,218.60000610351562,7306.4501953125,1364.1334228515625
2023-09-26,2422.164306640625,145.5194854736328,218.0,7418.3642578125,1362.134521484375
2023-09-27,2402.179443359375,144.31973266601562,214.60000610351562,7382.39208984375,1340.1484375
2023-09-28,2402.179443359375,142.82005310058594,223.8000030517578,7276.47216796875,1329.1556396484375
2023-09-29,2446.146484375,149.66860961914062,226.0,7290.4619140625,1343.146728515625
2023-10-02,2476.12353515625,149.0687255859375,213.39999389648438,7286.46435546875,1326.157470703125
2023-10-03,2374.20068359375,145.56947326660156,210.0,7120.5908203125,1278.1878662109375
2023-10-04,2308.2509765625,144.26974487304688,204.0,6966.70751953125,1242.2108154296875
2023-10-05,2342.224609375,139.97064208984375,204.60000610351562,7036.65380859375,1255.2025146484375
2023-10-06,2380.196044921875,143.11996459960938,204.1999969482422,7208.52392578125,1277.1884765625
2023-10-09,2344.223388671875,138.7209014892578,200.1999969482422,6894.76220703125,1241.21142578125
2023-10-10,2422.164306640625,144.1197509765625,205.0,7030.658203125,1280.186767578125
2023-10-11,2384.193115234375,138.57093811035156,205.8000030517578,6870.7802734375,1250.2056884765625
